Year,Inequality Index
1910,23.019999
1915,19.89
1916,22.93
1917,22.66
1918,20.14
1919,21.04
1920,20.13
1921,19.19
1922,21
1923,23.34
1924,21.64
1925,21.02
1926,20.65
1927,21.349998
1928,21.49
1929,20.119999
1930,17.33
1931,16.55
1932,16.96
1933,17.75
1934,17.720001
1935,18.47
1936,17.39
1937,17.550001
1938,16.609999
1939,16.51
1940,16.88
1941,16.12
1942,14.749999
1943,11.92
1944,10.059999
1945,8.54
1946,10.51
1947,10.79
1948,9.99
1949,10.35
1950,10.43
1951,10.79
1952,11.05
1953,10.94
1954,11.14
1955,11.36
1956,11.06
1957,11.33
1958,10.46
1959,11.32
1960,11.53
1961,11.65
1962,11.05
1963,10.82
1964,10.94
1965,11.03
1966,10.82
1967,10.809999
1968,10.26
1969,10
1970,9.32
1971,9.78
1972,9.6
1973,10.2
1974,9.84
1975,8.2
1976,9.22
1977,8.65
1978,8.4
1979,7.8599997
1980,8.33
1981,8.04
1982,7.53
1983,7.44
1984,7.5499997
1985,7.76
1986,8.349999
1987,8.93
1988,9.15
1989,9.35
1990,9.33
1991,8.85
1992,8.429999
1993,8.71
1994,8.85
1995,8.84
1996,9.49
1997,10.09
1998,10.39
1999,10.58
2000,10.88
2001,10.79
2002,10.450001
2003,11.33
2004,11.64
2005,11.44
2006,11.33
2007,11.77
2008,11.509999
2009,10.19
2010,10.78
2011,11.469999
2012,10.51
2013,10.24
2014,10.46
2015,10.05
2016,9.889999
2017,9.77
2018,9.7300005
